Generation,Lifetime Over 900 Cycle,Total Occumation Grade,Occupation Block of 5 Grade,Created Process Grade,Alive Process Grade,Bombing Freq Grade
0,901,337,66,0,1,40.0
1,901,303,106,0,1,33.333333333333336
2,901,303,105,0,1,33.333333333333336
3,901,0,0,0,1,0.0
4,901,303,106,0,1,33.333333333333336
5,19,0,0,4,0,0.0
6,901,7,2,0,1,33.333333333333336
7,901,7,2,0,1,33.333333333333336
8,5,0,0,0,0,0.0
9,901,304,107,0,1,33.333333333333336
10,901,304,107,0,1,33.333333333333336
11,901,304,106,0,1,33.333333333333336
12,901,304,106,0,1,33.333333333333336
13,901,304,106,0,1,33.333333333333336
14,901,0,0,0,1,0.0
15,901,304,106,0,1,33.333333333333336
16,901,304,107,0,1,33.333333333333336
17,901,303,106,0,1,33.333333333333336
18,901,0,0,0,1,0.0
19,901,303,106,0,1,33.333333333333336
20,901,303,106,0,1,33.333333333333336
21,901,303,106,0,1,33.333333333333336
22,901,304,105,0,1,33.333333333333336
23,901,303,106,0,1,33.333333333333336
24,901,303,107,0,1,33.333333333333336
25,901,303,105,0,1,33.333333333333336
26,901,303,106,0,1,33.333333333333336
27,901,304,107,0,1,33.333333333333336
28,901,303,106,0,1,33.333333333333336
29,901,303,107,0,1,33.333333333333336
30,901,303,107,0,1,33.333333333333336
31,457,154,10,0,0,16.666666666666668
32,901,303,105,0,1,33.333333333333336
33,901,303,106,0,1,33.333333333333336
34,901,303,107,0,1,33.333333333333336
35,901,303,106,0,1,33.333333333333336
36,901,303,106,0,1,33.333333333333336
37,901,303,106,0,1,33.333333333333336
38,901,0,0,0,1,0.0
39,901,303,107,0,1,33.333333333333336
40,901,303,105,0,1,33.333333333333336
41,901,303,106,0,1,33.333333333333336
42,901,303,106,0,1,33.333333333333336
43,901,304,107,0,1,33.333333333333336
44,901,303,106,0,1,33.333333333333336
45,901,304,105,0,1,33.333333333333336
46,5,6,3,0,0,0.0
47,901,303,106,0,1,33.333333333333336
48,901,303,106,0,1,33.333333333333336
49,901,305,2,0,1,33.333333333333336
50,901,0,0,0,1,0.0
51,901,303,107,0,1,33.333333333333336
52,901,303,106,0,1,33.333333333333336
53,901,303,105,0,1,33.333333333333336
54,901,303,105,0,1,33.333333333333336
55,901,307,21,0,1,33.333333333333336
56,901,0,0,0,1,0.0
57,901,0,0,0,1,0.0
58,901,0,0,0,1,0.0
59,5,0,0,0,0,0.0
60,901,309,22,0,1,33.333333333333336
61,901,309,22,0,1,33.333333333333336
62,901,309,23,0,1,33.333333333333336
63,901,311,22,0,1,33.333333333333336
64,901,310,22,0,1,33.333333333333336
65,901,310,22,0,1,33.333333333333336
66,901,310,22,0,1,33.333333333333336
67,901,310,22,0,1,33.333333333333336
68,901,310,23,0,1,33.333333333333336
69,901,310,2,0,1,33.333333333333336
70,901,310,22,0,1,33.333333333333336
71,901,0,0,0,1,0.0
72,5,0,0,0,0,0.0
73,901,310,22,0,1,33.333333333333336
74,901,309,22,0,1,33.333333333333336
75,901,309,22,0,1,33.333333333333336
76,901,0,0,0,1,0.0
77,901,309,22,0,1,33.333333333333336
78,901,309,23,0,1,33.333333333333336
79,901,309,22,0,1,33.333333333333336
80,901,302,21,0,1,33.333333333333336
81,901,0,0,0,1,0.0
82,901,157,12,0,1,33.333333333333336
83,901,157,12,0,1,33.333333333333336
84,901,157,11,0,1,33.333333333333336
85,901,299,21,0,1,33.333333333333336
86,901,306,3,0,1,33.333333333333336
87,16,0,0,0,0,0.0
88,901,308,22,0,1,33.333333333333336
89,901,308,23,0,1,33.333333333333336
90,901,308,21,0,1,33.333333333333336
91,901,7,1,225,2,12.5
92,901,0,0,2,2,0.0
93,901,222,44,226,5,12.555555555555555
94,901,8,2,225,2,12.5
95,901,0,0,225,2,0.0
96,901,8,2,225,2,12.5
97,901,0,0,225,2,0.0
98,901,9,1,225,2,12.5
99,901,49,1,239,240,15.5
100,901,0,0,263,20,0.0
101,901,49,5,239,240,15.5
102,901,0,0,34,35,0.0
103,901,49,5,239,240,15.5
104,14,0,0,2,0,0.0
105,901,7,1,419,420,10.833333333333334
106,901,0,0,419,420,0.0
107,901,7,1,419,420,10.833333333333334
108,901,7,1,419,420,10.833333333333334
109,901,0,0,223,224,0.0
110,901,197,14,419,420,10.833333333333334
111,901,49,1,223,224,15.555555555555555
112,901,0,0,301,12,0.0
113,901,299,21,302,15,0.2777777777777778
114,901,300,20,301,9,0.2222222222222222
115,901,300,21,301,9,0.2222222222222222
116,901,300,21,301,9,0.2222222222222222
117,901,303,21,303,9,0.1111111111111111
